t,ax,ay,az,gx,gy,gz
0.0022988319396972656,249,14544,-6538,19,-106,-51
0.01441502571105957,262,14547,-6510,34,-116,-63
0.026428699493408203,254,14523,-6553,35,-124,-69
0.03838467597961426,215,14505,-6599,-66,-123,-21
0.05032777786254883,153,14571,-6500,-218,-240,57
0.06228947639465332,146,14587,-6406,-185,-324,85
0.07424688339233398,61,14559,-6465,0,-188,-18
0.08620405197143555,41,14524,-6477,52,-137,-55
0.09814858436584473,57,14474,-6558,14,-246,-3
0.11005759239196777,286,14999,-5575,-2246,1417,-119
0.12200379371643066,364,15011,-5411,-2175,966,-84
0.1339564323425293,99,14440,-6564,-907,185,-393
0.1458897590637207,741,15971,-4130,-1659,-381,226
0.15782976150512695,-334,16962,-3228,-5229,5390,-3255
0.16974687576293945,-1357,14809,-2984,-12536,4292,-17617
0.18170452117919922,-3186,11254,-9206,-10191,7741,-12677
0.19365429878234863,-1397,10241,-13483,-7558,6077,8444
0.2055950164794922,4188,20064,-2735,-2838,9445,15597
0.21752262115478516,-3238,15340,-12064,6099,3583,-27588
0.2294750213623047,5037,17296,-7428,21311,-17639,32767
0.24143314361572266,12334,21460,-9511,24268,-9401,5474
0.25337958335876465,13131,25281,-9570,20599,4421,-3939
0.26531982421875,8845,28206,-10811,11136,18706,553
0.2772178649902344,3564,22631,-13212,3000,27109,-12204
0.2891530990600586,222,19126,-15303,-674,29317,-14207
0.30107736587524414,2289,22146,-14253,-6345,28910,-1595
0.31302475929260254,-1561,24189,-13505,-8373,32374,-5772
0.32497096061706543,-7752,25625,-14429,-13040,31977,1276
0.33692121505737305,-8591,22646,-11610,-20569,26221,-437
0.3488647937774658,-6980,12402,-10149,-26152,21247,204
0.36080098152160645,-4900,6009,-7753,-23779,12981,5814
0.37273669242858887,-841,7956,-6884,-20687,9322,8859
0.38466906547546387,2274,13282,-5139,-17669,8921,12819
0.3965742588043213,5504,20975,-4105,-16481,10506,16898
0.4085099697113037,6866,26976,-3318,-19549,14841,19741
0.4204418659210205,4623,24196,-2255,-31884,24920,16793
0.43238162994384766,628,17997,-3721,-32768,28007,15342
0.4443211555480957,-2737,10593,-5388,-32720,26933,12278
0.4562265872955322,-3226,6589,-5653,-32738,22677,10951
0.4681580066680908,-1629,6567,-2967,-31726,18211,12306
0.4800877571105957,867,6497,-799,-28195,15184,13650
0.49205613136291504,4451,15549,2001,-22191,14775,19484
0.503993034362793,5223,18897,2001,-23912,16144,19860
0.515904426574707,5436,18504,2756,-27096,18257,19824
0.5278327465057373,2622,15627,3196,-29080,20908,17677
0.5397720336914062,-1609,12360,4211,-29955,19698,14644
0.5517101287841797,2115,6986,5426,-29651,6707,7286
0.5636506080627441,5408,2560,6032,-28273,3987,1950
0.5755507946014404,7313,2053,7145,-24915,4279,2817
0.5874862670898438,6351,5070,8562,-21576,6533,6827
0.5994231700897217,4569,8795,10446,-19423,7487,10276
0.6113560199737549,6068,9482,9062,-21054,4997,6037
0.6232874393463135,6472,4371,9545,-21423,5219,3358
0.6351966857910156,5985,2424,9794,-18950,5444,4108
0.6471328735351562,6385,1644,10345,-15341,5063,3931
0.6590671539306641,5577,1737,11438,-11817,5334,6008
0.6709983348846436,4753,3748,12791,-8922,4316,6757
